Station;Ligne;Corresp. 1;Corresp. 2;Corresp. 3;Sens;Terminus 1;Terminus 2;Lat;Lon;Geopoint;Geopoint2;
La Paz;11;0;0;0;10;Pantitlán;La Paz;19.35048513;-98.96061659;19.35048513,-98.96061659;-98.96061659,19.35048513;
Los Reyes;11;0;0;0;9;Pantitlán;La Paz;19.35877546;-98.97670984;19.35877546,-98.97670984;-98.97670984,19.35877546;
Pantitlán;11;1;5;9;1;Pantitlán;La Paz;19.4146103;-99.07262564;19.4146103,-99.07262564;-99.07262564,19.4146103;
Peñón Viejo;11;0;0;0;6;Pantitlán;La Paz;19.37291562;-99.0172863;19.37291562,-99.0172863;-99.0172863,19.37291562;
Santa Marta;11;0;0;0;8;Pantitlán;La Paz;19.359804;-98.995894;19.359804,-98.995894;-98.995894,19.359804;
Tepalcates;11;0;0;0;4;Pantitlán;La Paz;19.39072824;-99.04651165;19.39072824,-99.04651165;-99.04651165,19.39072824;
Bosque de Aragón;12;0;0;0;10;Ciudad Azteca;Buenavista;19.45807473;-99.06927824;19.45807473,-99.06927824;-99.06927824,19.45807473;
Buenavista;12;0;0;0;21;Ciudad Azteca;Buenavista;19.44615757;-99.15289879;19.44615757,-99.15289879;-99.15289879,19.44615757;
Ciudad Azteca;12;0;0;0;1;Ciudad Azteca;Buenavista;19.53444312;-99.02711391;19.53444312,-99.02711391;-99.02711391,19.53444312;
Deportivo Oceanía;12;0;0;0;11;Ciudad Azteca;Buenavista;19.45077077;-99.07917023;19.45077077,-99.07917023;-99.07917023,19.45077077;
Ecatepec;12;0;0;0;4;Ciudad Azteca;Buenavista;19.51470467;-99.03568625;19.51470467,-99.03568625;-99.03568625,19.51470467;
Garibaldi;12;8;0;0;19;Ciudad Azteca;Buenavista;19.443376;-99.139954;19.443376,-99.139954;-99.139954,19.443376;
Guerrero;12;3;0;0;20;Ciudad Azteca;Buenavista;19.44522682;-99.1463542;19.44522682,-99.1463542;-99.1463542,19.44522682;
Impulsora;12;0;0;0;7;Ciudad Azteca;Buenavista;19.484987;-99.048743;19.484987,-99.048743;-99.048743,19.484987;
Lagunilla;12;0;0;0;18;Ciudad Azteca;Buenavista;19.44300109;-99.13107634;19.44300109,-99.13107634;-99.13107634,19.44300109;
